;company;paragraphs;label
27893;couchbase;"the funding comes as the market of nosql vendors becomes increasingly competitive. the likes of mongodb, which this week announced $80m in funding, and couchbase, which has received $116m in funding to date, are all trying to stake a claim.

  basho technologies, the creator of the riak nosql database, is set to take on rivals mongodb and couchbase after raising $25m in funding.";
28394;wickr;"""you in fact sent me a message on your preferred wickr system where you stated that you and the fm (foreign minister) were 'as one' in your support for my candidature.""";
28752;xtremio;"o xtremio all-flash arrays for accelerating and consolidating mixed block storage workloads such as databases, analytics, server virtual machines, and virtual desktop infrastructures that require consistent and predictable performance with sub-millisecond latencies. xtremio is designed to address most high-end enterprise workloads with some of the industry's best inline data compression and de-duplication capabilities for improved capacity economics.

 ""we're expanding upon emc's primary storage strengths and all-flash leadership, built with xtremio. with the introduction of vmax all flash and dssd d5 there is virtually no data center use case we're unable to address from traditional high-end enterprise workloads, to use cases that people haven't even dreamt about in the data center of tomorrow,"" he added. - tradearabia news service

 complementing the industry-leading xtremio all flash array, emc's flagship vmax all flash enterprise data services platform and emc dssd d5 rack-scale flash solution underscores emc's commitment to all flash arrays for primary storage, a statement said.";
28784;xobni;"  after you press send, an option to ""undo"" will appear at the bottom of your inbox feed for three seconds. just click that and you'll stop the email from sending.  using ""xobni"" technology, yahoo will now give ios users options to search for a person in mail, the company said in a statement.  in addition to their most recent emails, you'll also be able to see their contact card with information including picture, phone number and email history.";
29373;mopub;so far, its acquisitions have been relatively small by silicon valley standards. in may, it paid $134m for gnip, a company that provides data about social media. shortly before its market debut it acquired mopub, a mobile publishing platform, for $350m.;
29555;avexis;this investment follows more than a decade of investing in cutting edge technology and gene therapy by the pbm capital group, most recently in avexis, an aav-based gene therapy company targeting spinal muscular atrophy (sma).;
29894;nanosolar;"nanosolar's seed money came from sergey brin and larry page, who started google. last month their ""do no evil"" search-engine company announced plans to build the largest corporate solar power installation at its silicon valley campus. the panels will supply about 30 per cent of its electricity.

 that has changed. california's entrepreneurs are piling into clean-energy technology. in june a group of silicon valley luminaries invested $100 million in nanosolar, a firm that hopes to cut the cost of producing solar panels dramatically. the investors include some of the founders of ebay, the world's biggest online auctioneer, and germany's sap, a giant software firm.";
30067;optimedica; us healthcare company abbott laboratories (nyse:abt) unveiled it will take over silicon valley-based ophthalmic device firm optimedica corp for up to usd400m (eur307m), net of cash. country: usa sector: healthcare target: optimedica corp buyer: abbott laboratories deal size in usd: 400m type: corporate acquisition status: agreed;
30293;awesomenesstv;"digital, print and book apps are on the slate for dreamworks animation's new in-house publishing team, which is to draw on the studio's raft of recent releases as well as titles owned by dreamworks classics (which include ""noddy,"" ""lassie"" and ""veggietales"") and nickelodeon/youtube show awesomenesstv.";
30380;massroots;" denver:  massroots, inc.  has issued the following news release: massroots, inc. (otcqb:msrt), one of the leading technology platforms for the cannabis industry, announced today that cannaregs, inc. has secured multiple government contracts in california. as previously reported, massroots recently entered into definitive agreements to acquire cannaregs, inc. (for more information, including the conditions to closing the acquisition, please refer to massroots' current report on form 8-k filed with the u.s. securities and exchange commission on august 24, 2017, as amended on august 28, 2017).

  cannaregs, which provides users with up-to-date access to all cannabis-related rules and regulations from municipal, county, state and federal sources has added sonoma county, mendocino county, yolo county and san joaquin county to its subscriber base in the last 60 days. this brings cannaregs up to a dozen government contracts that include the likes of los angeles county and the city of sacramento. ""we are extremely pleased to announce these new contracts, which significantly expand our operations throughout the rapidly-emerging california marketplace,"" stated mrs. amanda ostrowitz, co-founder of cannaregs. ""these agreements allow us to enhance our market presence within california's $5 billion legal cannabis industry and we expect to generate significant revenues as we execute on these contracts. going forward, we expect to leverage these new government relationships and our best-in-class technology to capture additional market share and significantly increase revenues."" in november 2016, california passed proposition 64 allowing for the full legalization of marijuana. the implementation of this new law has brought with it significant regulatory issues. oversight relating to water usage, licensing, background checks and safety and education training are just some of the rules in which retailers will need to familiarize themselves. ""these contracts provide strong validation that our planned acquisition of cannaregs is both timely and valuable,"" said mr. isaac dietrich, ceo of massroots inc. ""california's voter-approved proposition 64, will require new rules and standards for marijuana testing facilities and cannaregs is positioned to establish itself as a market leader within this developing industry. management expects cannaregs to secure similar contracts in the near future.""";
30447;smaato;"s launch of its windows phone 8 software development kit (sdk).a single integration with smaato?s sdk will allow app developers to monetize apps with mobile advertising in more than 230 countries and territories. it will provide access to over 90 ad networks, as well as access to smaato?s state of the art global mobile real time bidding (rtb) exchange, which has more than 25 demand side platform partners.smaato ceo and founder, ragnar kruse commented:?microsoft?s windows phone offers an attractive os platform, and we?re pleased to work with microsoft to ensure that windows phone app developers will be able to more easily monetize apps through mobile advertising.?""microsoft cares a lot about how developers can monetize their applications and we strive to offer them choice?, said jc cimetiere, director, windows phone partner & developer programs, microsoft corp,?smaato?s broad worldwide network and its support for windows phone 8 on day 1 of the availability of our sdk is a great opportunity for windows phone developers.??smaato was one of the very first companies to provide a sdk supporting windows phone ? by developing our sdk for windows phone 8 it demonstrates smaato?s ongoing commitment to providing choice and convenience to app developers all around the globe,? added kruse.

  smaato, the leading mobile ad monetization platform for fast-growing application developers, today announced the release of the smaato?s advertising sdk for windows phone 8 to support microsoft?";
30970;nextracker;"the agreement between adani power and nextracker includes supply of tracker technology, design consultation, installation and commissioning support to the latter`s projects in india and overseas.

 the renewable-energy arm of the adani group company has tied up with san francisco-headquartered nextracker to use more efficient technology for its projects in india and overseas.

 according to adani green, the tracker technology provided by nextracker helps maximise energy yield and leads to cost savings. the technology enables movable pv panels to follow trajectory of the sun for a higher energy output.";
31013;digitalocean;" the new funds support aggressive acceleration of sales, marketing and product roadmap advancement for the company's etl-less smart data warehouse that expedites the journey of migrating raw data to analytics using machine learning and natural language processing. the additional funding will allow panoply to execute strategies to meet and exceed the demands of today's big data revolution, including expanding the engineering team at an exponential rate to scale with customer demand ""panoply has one of the most advanced and transformative platforms in the big data segment,"" said marcos battisti, managing partner at c5 capital. ""the company's state-of-the-art platform positions panoply to take advantage of the growing demand for evolving data solutions that reduce development time and are adaptive to business requirements and scalability needs."" panoply sits on the single point of convergence between machine learning and traditional data management and storage technologies. the company's ability to automate data warehouses and data lakes enables enterprises to focus on business concerns without having to invest enormous amounts of time and capital on expensive devops resources traditionally required for data management. the panoply smart data warehouse leverages natural language processing, machine learning query optimization and automated elastic storage and cpu scaling to accelerate and simplify the entire data journey. panoply also bolstered its senior management team with the appointment of michael canon as vice president of worldwide sales, and paul friesen as vice president of marketing.     with more than 20 years of experience exceeding growth expectations, canon most recently served as head of enterprise sales at new relic, in addition to vice president of worldwide sales roles at sauce labs and bigpanda.      friesen previously served as vice president of marketing for algolia and head of marketing for atlassian before joining panoply. he has additional experience with intel and with two of his own product marketing companies. ""while speed and cost remain pivotal to the 40-year evolution in data warehousing technologies, automated self-optimizing technology is the major advancement organizations must consider to remain competitive in any market,"" said yaniv leven, chief executive officer, panoply. ""michael's and paul's market knowledge and leadership, coupled with the additional funding, guarantees panoply's technology reaches any company looking for greater user access to real-time data insights."" panoply also welcomed moisey uretsky, co-founder and chief product officer at digital ocean to the company's advisory board. responsible for driving product vision at digitalocean, the world's second largest and fastest growing cloud computing platform, uretsky's laser focus on simplifying web infrastructure and building a product that developers love is perfectly aligned with panoply's mission, technologies and markets.";
31192;schoold;ghanzi senior school guidance and counseling senior teacher, ms onthusitse sahib said the schoold had an initiative to engage school leaving students in such platforms to expose them to career opportunities.;
31211;sweetgreen;the school lunch comparisons were revealed in 2015 by sweetgreen, a chain of us restaurants, and website never seconds, run by scottish schoolgirl martha payne, who logs her thoughts and experiences of eating school meals at her primary school in lochgilphead, scotland.;
31381;everfi;the national financial literacy month is starting april 1. leaders at gulfport headquartered hancock holding company today announced its financial literacy partnership with washington, d.c., based everfi, inc., to provide more than 155,000 middle and high school students across the gulf coast with an interactive, web-based financial management program that reinforces classroom learning at no cost to schools or taxpayers: hancock bank and whitney bank financial cents.;
31424;scality;hpe moonshot trader workstation solution: enhances financial trader experience and productivity using hpe moonshot and citrix solutions. this enables trading companies to deploy physical hosted desktop environments, providing a secure workstation experience with accelerated graphics and high compute performance to run online trading applications.  hpe trade and match server solution : leverages the density-optimized hpe apollo 2000 server with frequency optimized single socket processors to consistently deliver up to 28 percent performance improvement 3 on trade processing and minimizing system latency for increased competitive differentiation with lower total cost of ownership (tco).  hpe risk compliant archive solution: enables organizations to keep up with the increasing number of complex, regulatory archiving compliance requirements efficiently and securely, without the need for disruptive and time-consuming data migrations. this solution, composed of iternity icas software verified for data archiving standards and scality ring file and object storage with hpe apollo 4000 servers, provides a long-term, robust, and cost-effective platform for implementing compliant data archives combined with an ability to support multiple media formats, applications, and locations.;
32076;vuclip;khan, an early backer of indian software product star tups druva, sapience and jig see (vuclip), and taxi aggregator ola, has invested in over 20 startups emerging as a star investor with an impec cable record of identifying early winners. most of these startups, where he was one of the first investors, went on to raise subsequent rounds from marquee global names.;
32407;retailnext;"a recent harris poll survey commissioned by retailnext predicts americans are set to shop the same this holiday season, regardless of who takes the white house.

 as always, it remains to be seen how holiday 2016 plays out. but retailnext's kohan emphasises that wherever retail performance falls at the end of the year, the reasons will have very little to do with election day.

 economic indicators are good, agrees retailnext's kohan. ""there are two extra shopping days between thanksgiving and christmas as compared to last year's holiday season, and any residual angst of the elections will be well over by thanksgiving, still the beginning of holiday shopping season.""

 and shelley kohan, vice president of retail consulting at retailnext, anticipates shoppers' election-related angst will have the greatest impact in the weeks immediately leading into and following election day on 8 november.";
32648;zenoss;"the victorops platform maintains connections with an unlimited number of tools through its api and email integrations. the addition of crittercism, splunk, and zenoss brings the number of first-class integrations to 11.

 ""integrating devops more closely with infrastructure operations only makes sense in today's always up and continuous deployment culture,"" said bill karpovich, ceo, zenoss. ""by sharing information across the it organization, beyond system administrator and it operations teams, through these types of integrations, the efficiency of the organization will only increase and downtime will be reduced, which will ultimately decrease the cost of it operations.""

 victorops adds integrations with crittercism, splunk and zenoss; increases number of enterprise level integrations and continues to add support at all levels of the technology stack

   victorops, a collaboration and incident management platform designed for devops teams, today announced the addition of crittercism, splunk, and zenoss to its roster of enterprise level integrations. with these additions, victorops will continue to deliver enterprise ready support for large-scale infrastructures and applications.

 zenoss integration zenoss is an enterprise it operations platform that delivers unified monitoring and service analytics, enabling it to proactively identify and address performance and availability issues before the business is impacted. its widely deployed technology addresses the needs of physical, virtual, and cloud-based infrastructures.

 the integration with victorops extends the zenoss solution by sharing critical information from these hybrid it environments with devops teams through event triggers and notifications.";
32710;nodality;"applicants: nodality, inc. [us/us]; 170 harbor way south san francisco, ca 94080 (us). hotson, andrew [us/us]; (us) (for all designated states except us). hawtin, rachael [us/us]; (us) (for all designated states inventors: hotson, andrew; (us). hawtin, rachael; (us)";
33054;invuity;san francisco: invuity inc has issued the following stock quote: price                             7.75              change           - 0.15 volume                          29,118            % change            1.90% intraday high                     8.00        52 week high            14.25 intraday low                      7.70         52 week low             4.50 today's open                      7.75            currency        us dollar previous close                    7.90            exchange           nasdaq;
33848;netskope;"'netskope is committed to delivering the market's most comprehensive solution to gain real-time visibility into and secure all cloud services, prevent data loss and unwanted data exposure, prevent and remediate cloud threats, enable access control, all while ensuring employees have the freedom to safely use and enable the cloud services from any device they choose,' said sanjay beri, founder and ceo, netskope. 'this award is a testament to the hard work and innovation our team has put into ensuring the netskope active platform solves all our customers' cloud security problems.'

 netskope, the leader in cloud security, announced today that tmc, a global, integrated media company, has named the netskope active platform as a 2017 cloud computing security excellence award winner. the cloud computing security excellence award, presented by cloud computing magazine, recognizes companies in two distinct categories that have most effectively leveraged cloud computing in their efforts to bring new, differentiated offerings to market.";
34252;ledgerx;"the u.s. commodity futures trading commission (cftc) issued an order of registration to ledgerx on thursday, granting it registration status with the futures regulator as a swap execution facility (sef).

 with the addition of ledgerx, there now are 25 sefs registered with the cftc. sefs were introduced under the 2010 dodd-frank wall street reform act.

 ledgerx is now the second regulated bitcoin options exchange to list collateralised, physically-settled bitcoin options, after the cftc registered bitcoin exchangeteraexchange as a sef in august. delaware-based ledgerx had applied with the futures regulator for registration as a swap execution facility (sef) and a derivatives clearing organisation (dco) in january, as first reported by fow. the dco application was still pending as of friday.";
35034;bluebridge;on july 21, the agency issued an enforcement on tamar energy's waste plant, in the bluebridge industrial estate, halstead, after receiving more than 300 complaints about the noise and odour from it.;
35781;hackerone;based in mountain view, california, google has partnered with the popular bug bounty platform hackerone to reward those who find, disclose, and help fix the most serious security flaws.;
35956;revver;with 233kw of power, though, the gs350 has plenty of punch and it's a smooth, free revver that unleashes a satisfying snarl under full throttle. it also leaps smartly from the line and is rarely left wanting for outright urge.;
36013;revver;it won't be the first site to offer such a deal. in october 2005, revver announced plans to attach advertising to user-submitted videos and give their creators a cut of the profits.;
36470;electrocore;" alexandria, va: united states patent and trademark office has received an application no. 20160346542 for us patent, published on december 1, 2016, by electrocore, llc (new jersey), titled as ""devices and methods for treating medical disorders with evoked potentials and vagus nerve stimulation""  for the registration of patent.

 electrocore, llc (new jersey) applies for us patent titled as ""devices and methods for treating medical disorders with evoked potentials and vagus nerve stimulation""";
37230;zocdoc;"zocdoc reviewed consumers ages 18 to 64 and found that ""the vast majority who signed up in the first wave of obamacare didn't have acute medical needs, contrary to expectations,"" said oliver kharraz, m.d., zocdoc's co-founder and chief operating officer. ""the biggest news here is the absence of dramatic utilization differences.""

  individuals who purchased health insurance via exchanges in 2014 were more likely to book checkups than those covered through their employer, according to data provided by zocdoc, a free online tool used to book appointments, as reviewed by reuters.

 zocdoc also found that those who used the site were slightly younger females who were more technology-oriented than the overall u.s. population.";
37455;farmobile;"haws said anterra learned about farmobile 18 months ago at an agricultural conference in st louis. he said they ""followed their progress for about a year before visiting their office in kansas and starting an investment process.""

 european venture capital investors anterra capital has led a $5.5 million series a round into agri data start-up farmobile. a family office in farmobile's home state of kansas added to its initial 2014 investment.

 ""data is one of the most valuable things a farmer harvests today,"" said farmobile founder and chief executive jason tatge in a press release, calling the raise a ""huge win for farmers around the world.

 farmobile's model of cross-referencing data and allowing farmers to own and sell what they collect for big data platforms means it is operating in an extremely competitive environment. google ventures and andreessen horowitz have backed another agri data start-up, granular, and monsanto bought data science company the climate corporation in 2013 for $930 million.

 asked about how competitive farmobile is, haws told agri investor: ""we liked the fact that farmobile set out to be collaborative and that they would not compromise on providing farmers with clear data ownership terms as part of an independent service. this proved to be a good jumping-off point and certainly something we can scale in the current environment.""

 farmobile aims to captures and streams data through tractors, irrigation systems, and other smart machinery so that it can be cross-compared and analysed. this could mean taking data collected by different companies and brands. but the company will also allow farmers to protect the data they share with farmobile's cloud, so that the farmers will own their own data and be able to sell to third parties.";
37515;patreon;but for everyone else, the sudden loss of income is nerve-wracking, to say the least. thankfully, there are some other options. commissions, brand deals, streaming websites like twitch, and crowdfunding sites like patreon allow youtubers to continue profiting from their videos, which in turn allows them to produce more and greater content for their loyal fans.;
37534;patreon;podcasting is still a relatively small industry in canada. jesse brown, a self-styled media critic, supports his canadaland podcast with donations from supporters through the crowdfunding website patreon. but the country's largest player is the cbc, with more than one million weekly podcast downloads.;
37871;affectiva;"picard and el kaliouby have since set up a company called affectiva, based in waltham, massachusetts, which is selling their expression recognition software. their customers include companies that, for example, want to measure how people feel about their adverts or movie. and along with colleague mohammed hoque, they have been tuning their algorithms to pick up ever more subtle differences between expressions, such as smiles of delight and frustration, which can look very similar without context . their algorithm does a better job of detecting the faint differences between those two smiles than people do. ""the machines had an advantage over humans in analysing internal details of smiles,"" says hoque.

 affectiva is also in talks with a japanese company that wants to use their algorithm to distinguish smiles on japanese faces. the japanese have given names to 10 different types of smile -; including bakushu (happy smile), shisho (inappropriate giggle), and terawari (acutely embarrassed smile).";
38246;humacyte;significance:enzyvant is the second company to receive an rmat designation for an investigational drug, the first being us firm humacyte for its humacyl human acellular vessel candidate providing vascular access to kidney failure patients on haemodialysis (seeunited states: 21 march 2017:). it is the first company to receive rmat and breakthrough therapy designations simultaneously. rvt-802 already has us orphan-drug designation for cdgs. cdgs is a congenital disorder characterised by congenital heart disease, hypoparathyroidism, and athymia, leading to low calcium levels and severe immunodeficiency. if untreated, death typically occurs within the first two years of life.;
38496;groupme;"elsewhere skype bought group messaging provider groupme for $85 million; mexico's telcel carried out lte trials ahead of a commercial rollout scheduled for 2012; brazil issued its first mvno permits; facebook overhauled its privacy settings and paved the way for new features aimed at helping it stay ahead of google+ and twitter; china telecom saw its 1h profit rise 8% as its mobile subscriber base swelled; indian regulator the trai sought clarification over recent price hikes by the country's mobile operators; and the president of state-run colombian telco etb fernando carrizosa resigned.";
39072;vaxinnate;"related articles: biota flags positive phase iii flu drug data novavax, vaxinnate win $215m to develop better pandemic vaccines vaxinnate plots its future following hhs contract novavax's ceo discusses hhs flu vaccine funding

  just a month after granting major contracts to vaxinnate and novavax, barda is giving $231 million to australia-based biota for the company's flu treatment laninamivir. the drug is a long acting neuraminidase inhibitor that biota says can both treat and prevent flu infections in fewer doses than currently-available neuraminidase inhibitors. laninamivir is already approved in japan but is several years away from approval in the u.s.";
39164;carefx;"as wayne parslow, general manager for harris healthcare solutions, which recently acquired portal providers carefx, explains: ""a portal is a web page that sits on its own repository of information and allows you to search it.";
39202;univa;vaas fig 770 univas ported bi-directional two-piece bolted body gate valve, self-cleaning design, with steel-reinforced elastomer seats, for scaling services;
39924;spikesource;business week online has reported that oracle is also in talks with jboss and php language leader zend, while the blog of venture capitalist paul kedrosky identified open systems testing company spikesource as another possible candidate for acquisition.;
40070;vocalocity;"head line: us patent granted to vocalocity, inc (georgia) on december 13, 2016 titled as ""method and systems for an incoming unidirectional outage bypass for a voice over internet protocol private branch exchange system""

  alexandria, va: united states patent and trademark office has granted patent no. 9,521,049 on december 13, 2016, to vocalocity, inc (georgia) titled as ""method and systems for an incoming unidirectional outage bypass for a voice over internet protocol private branch exchange system""";
40162;nfon;sunrise has announced that it is to expand its collaboration with nfon on cloud telephone systems. sunrise has been offering a cloud-based phone system since 2011. the expanded agreement called 'business cloud pbx powered by nfon' is aimed at small, medium-sized, and large companies.;
41031;demandbase;" ""we appreciate the support from our community for our strategy to focus on high conviction, early stage investments, and help founding teams build solid foundations for efficient growth. we're also thrilled to welcome some wonderful new lps for fund iii,"" said greg sands, founder and managing partner. ""the pipeline of ideas and entrepreneurs we're seeing is truly inspiring, which means we've got a shovel in hand and are already at work."" costanoa's investments focus on the b2b infrastructure that changes how business gets done including companies such as: enterprise data company alation, security company bugcrowd, and account-based marketing company, demandbase. the firm maintains a focus on providing series a and seed investments for technologies that seek to capitalize on the shift towards a data-driven, cloud-based, and mobile-centric world. ""since we started, we've been about providing an old-school, hands-on approach to venture capital combined with a purpose-built operating team,"" said sands. ""we believe in staying small and boutique so we can form a true partnership with the companies in our portfolio."" founded in 2012, costanoa ventures prides itself on providing early-stage companies with deep functional expertise and support. costanoa ventures' mission is to be a hands-on, value-added partner.  over the last two years, the firm built an operating team to help founders craft the right go-to-market capabilities to grow efficiently and build great companies. ""the market is still metabolizing the changes enabled by cloud computing, mobile, and new data technologies,"" said neill occhiogrosso, partner. ""having an operating team along with our investing team gives us the hands-on capabilities to help founders accelerate the go-to-market for their innovative ideas.""";
41169;hitfix;hitfix claim that the 34-year-old will have a small role in the batman vs superman: dawn of justice film alongside ben affleck, which will then lead into a justice league movie and eventual spin-off film.;
41756;biobots;"biobots, inc. (pennsylvania) applies for us patent titled as ""methods, devices, and systems for the fabrication of materials and tissues utilizing electromagnetic radiation""

  alexandria, va: united states patent and trademark office has received an application no. 20170172765 for us patent, published on june 22, 2017, by biobots, inc. (pennsylvania), titled as ""methods, devices, and systems for the fabrication of materials and tissues utilizing electromagnetic radiation""  for the registration of patent.";
41869;flirtey;" 7eleven, the world's largest convenience retailer, and flirtey, a leading independent drone delivery service, have completed the first fully autonomous drone delivery to a customer's residence in the usa and are planning close cooperation in future.

 once at the family's backyard, the flirtey drone hovered in place and gently lowered each package. the purchases, including drinks, a chicken sandwich, donuts, hot coffee and candy, were delivered to the family in the span of a few minutes.

 the faa-approved delivery was the first time a us customer has received a package to their home via drone, representing a historic milestone in both u.s. and global commerce. the delivery, conducted in celebration of the convenience store chain's 89th birthday, also advances research toward integrating drones into the us national airspace system.   at a reno, nevada 7eleven® store, two deliveries were successfully completed. 7eleven merchandise - including hot and cold food items - were loaded into a unique flirtey drone delivery container and flown autonomously using precision gps to a local customer's house.

 the deliveries also mark flirtey's largest commercial relationship to date and bring the drone delivery startup even closer to its vision of reinventing the delivery process for humanitarian, online retail and food delivery industries. ""we're absolutely thrilled to have 7eleven, the largest convenience chain in the world, embracing new technologies and working with us at flirtey to make drone delivery a reality for customers all over the world,"" said flirtey ceo matt sweeny. ""this is just the first step in our collaboration with 7eleven. flirtey's historic drone deliveries to date have been stepping stones to store-to-home drone delivery, and today is a giant leap toward a not-too-distant future where we are delivering you convenience on demand.""   building on this initial collaboration, the two companies have plans to expand drone delivery tests and work closely together, according to 7eleven evp and chief merchandising officer jesus h. delgado-jenkins.   ""drone delivery is the ultimate convenience for our customers and these efforts create enormous opportunities to redefine convenience,"" he said. ""this delivery marks the first time a retailer has worked with a drone delivery company to transport immediate consumables from store to home. in the future, we plan to make the entire assortment in our stores available for delivery to customers in minutes. our customers have demanding schedules, are on-the-go 24/7 and turn to us to help navigate the challenges of their daily lives. we look forward to working with flirtey to deliver to our customers exactly what they need, whenever and wherever they need it.""

 ""i congratulate nevada-based company flirtey on making history yet again - this time by collaborating with the world's largest convenience retailer to complete the first store-to-home drone delivery in reno, nevada,"" said nevada governor brian sandoval. ""through our faa test site designation, flirtey has cemented nevada's position as the leader in the commercial unmanned aerial vehicles (uav) industry and i look forward to seeing them continue to grow and bring jobs to our region.""

 the goal of advancing drone deliveries as well as further refining flirtey's delivery technology and packaging were highlighted when flirtey teamed with the nevada institute for autonomous systems (nias) for the delivery.   ""this delivery required special flight planning, risk analysis, and detailed flight procedures ensuring residential safety and privacy were equally integrated,"" said chris walach, director of operations for nias.

 ""my wife and i both work and have three small children ages 7, 6 and 1. the convenience of having access to instant, 24/7 drone delivery is priceless,"" said reno resident michael, who received the flirtey delivery. ""it's amazing that a flying robot just delivered us food and drinks in a matter of minutes.""";
42046;mambu;"this newest financing will be utilized to pursue building on mambus global momentum and successes, with the firm gaining 3 times year-over-year increase and recording many important milestones in the past 12 months.

 mambu has rapidly evolved to be an industry-leading modern, cloud based banking system that is opening up new opportunities for digital-first banking and is well positioned as a disruptive challenger to traditional and legacy banking systems.

 stefan tirtey, managing director at commerzventures said, we see mambu as the next generation of banking platforms and cloud technology with huge potential to fill a significant need in the market.

 as significant part of its international growth, mambu seeks to substantially broaden its commercial group accelerate endowment into the platform and open additional offices to bolster its growth in asia and the americas.

 eugene danilkis, ceo of mambu said, this latest funding round is a testament to our growing client base and increasing market needs for a cloud banking platform.

 we were impressed with mambus position as a global fintech platform player with great potential as the platform-of-choice for emerging fintech companies and as an engine for innovation for the established organizations. we look forward to helping the company build on the momentum it has already achieved and continue to establish themselves as the cloud engine of the fintech revolution.

 mambu, the saas banking platform supplier, declared it has mounted 8 million in their newest financing round driven by acton capital partners and commerzventures with taking part likewise roping in from present capitalists.";
43963;rennovia;"head line: us patent granted to rennovia inc. (california) on november 03, 2015 titled as ""production of glutaric acid and derivatives from carbohydrate-containing materials""

  alexandria, va: united states patent and trademark office has granted patent no. 9,174,911 on november 03, 2015, to rennovia inc. (california) titled as ""production of glutaric acid and derivatives from carbohydrate-containing materials""";
44466;cellzdirect;invitrogen is buying out cellzdirect in a $57 million cash deal. cellzdirect provides r&d operations hepatocyte-based cell products and other services used to test new drugs. primary human hepatocytes can be used to predict a compound's effects on enzymatic metabolism in the liver, helping to avoid trial failures. cellzdirect was set up seven years ago and has facilities in north carolina and austin.;
44503;veniam;" alexandria, va: united states patent and trademark office has received an application no. 20170150299 for us patent, published on may 25, 2017, by veniam, inc. (california), titled as ""systems and methods for network coded mesh networking in a network of moving things""  for the registration of patent.

 veniam, inc. (california) applies for us patent titled as ""systems and methods for network coded mesh networking in a network of moving things""";
44828;healthtap;  jay g. wohlgemuth, m.d., is senior vice president, r&d, medical and chief medical officer for quest diagnostics. based at quest diagnostics nichols institute, in san juan capistrano, california, dr. wohlgemuth is responsible for research & development, medical affairs, and medical/lab quality. in addition, he is responsible for improving outcomes for employees who use our health benefits.  dr. wohlgemuth has many years of experience in medical diagnostics and research and development. he rejoined quest in 2016 from healthtap, a health information start-up, where he served as senior vice president and chief healthcare officer. prior to that, he was senior vice president, r&d, medical and chief scientific officer with quest. dr. wohlgemuth originally joined us in 2009 from genentech, where he was director, clinical diagnostics, itgr (immunology, tissue growth and repair) and global development team leader for ocrulizumab. he also served as vice president, research and development for via pharmaceuticals and as chief medical officer for the molecular diagnostics company xdx, a company he co-founded. dr. wohlgemuth also served as vice president, research & development for xdx. for his work at xdx he was awarded technology pioneer 2005 at the world economic forum in davos. he serves on the board of directors for the personalized medicine coalition, diagnostic labs of oklahoma and the anne and henry zarrow charitable foundation.  dr. wohlgemuth earned his bachelor's degree in biology from harvard college and his medical degree from stanford university school of medicine, where he also served a fellowship in cardiovascular medicine.;
45310;olapic;us-based digital typesetting and typeface design company monotype imaging inc (nasdaq: type) plans to acquire olapic for approximately usd 130m, the company said. olapic's earned content platform helps brands collect, curate, use and analyse user-generated content in the form of images and videos in their ecommerce experiences and across multiple marketing channels.;
45670;suppremol;"swiss federal institute of intellectual property granted patent to suppremol gmbh on april 12, 2017 titled as ""highly concentrated formulations of soluble fc gamma receptors""

  bern: swiss federal institute of intellectual property office has granted patent no. ep2991667 on april 12, 2017, to suppremol gmbh, titled as ""highly concentrated formulations of soluble fc gamma receptors""";
45937;beautycounter;     ·    joy wilson: food writer and photographer known as joy the baker. her           blog attracts over 600,000 unique visitors a month.      ·    helen norman: fashion and lifestyle photographer and owner of star           bright farm in maryland.      ·    lior lev sercarz: owner of spice shop la boite in new york and author           of the spice companion.      ·    jean brownhill: ceo of sweeten, a company founded to help homeowners           planning a renovation find the right contractor and navigate trouble           spots.      ·    gregg renfrew: founder of beautycounter, a nontoxic beauty brand that           aims to get safer products in the hands of everyone.      ·    dallas shaw: fashion illustrator, style expert, and author of the way           she wears it.      ·    kim ficaro: prop and interiors stylist who recently launched her own           home collection with an e-commerce store, totem home, for which she           collaborates with artisans in mexico and morocco on a range of           designs.;
46486;gainsight;kristina shen joined bvp in 2013. she works closely with bvp's portfolio companies, including service titan, rainforestqa, vidyard, helpful, and gainsight. kristina was actively involved in the successful exit of instructure and is the bvp lead on the boards of glint, doubledutch and retail solutions. kristina's strong investment performance and operational insight has been crucial to the success of the firm's best-in-class cloud investing practice. bvp has the largest cloud computing portfolio in the venture industry, and has been an investor in more cloud ipos than any other venture firm. as partner, kristina will continue to invest in enterprise technology companies, specifically in the areas of human assisted ai, enterprise voice, enterprise mobile and next-generation hr.;
46507;gainsight;us customer success solutions provider gainsight said it had collected usd25m (eur19.7m) through a series c round led by bessemer venture partners, with participation from lightspeed venture partners.;
46961;trefis;"""the report by trefis is quite interesting. for me, it means apple needs to focus more on hardware not just software to expand its customers tonot only apple fans,"" said another executive from a local parts supplier to apple, which has maintained the partnership for several years.

 in rare notes to clients, trefis insisted it won't be easy for apple to regain the top spot in the global smartphone market and stressed apple must come up with a new version of the iphone since samsung will continue to offer various options to customers.

 samsung electronics passed apple to become the world's biggest smartphone maker in the third quarter of this year and u.s.-based market research firm trefis said apple will have a hard time clawing back the ground.";
47049;rescuetime;and when reducing office hours cannot be an immediate solution for your business, these three clever apps can help manage workflow and reduce distractions: app-solutely brilliant 1. rescuetime rescuetime provides an accurate snapshot of how you spend your time each day. its goal setting tools, detailed reports about which websites and applications you spent time on, and productivity scores spot inefficiencies in your day and help you become better at managing time.;
